Designator,Value,Footprint,Mid X,Mid Y,Rotation,Layer
"LED34","YS-SK6812MINI-E","YS-SK6812MINI-E",-109.743000,54.620000,0.000000,bottom
"LED35","YS-SK6812MINI-E","YS-SK6812MINI-E",-90.743000,54.620000,0.000000,bottom
"LED36","YS-SK6812MINI-E","YS-SK6812MINI-E",-71.743000,59.370000,0.000000,bottom
"LED37","YS-SK6812MINI-E","YS-SK6812MINI-E",-52.743000,61.745000,0.000000,bottom
"LED38","YS-SK6812MINI-E","YS-SK6812MINI-E",-33.743000,59.370000,0.000000,bottom
"LED39","YS-SK6812MINI-E","YS-SK6812MINI-E",-14.743000,56.995000,0.000000,bottom
"LED40","YS-SK6812MINI-E","YS-SK6812MINI-E",-109.743000,35.620000,0.000000,bottom
"LED41","YS-SK6812MINI-E","YS-SK6812MINI-E",-90.743000,35.620000,0.000000,bottom
"LED42","YS-SK6812MINI-E","YS-SK6812MINI-E",-71.743000,40.370000,0.000000,bottom
"LED43","YS-SK6812MINI-E","YS-SK6812MINI-E",-52.743000,42.745000,0.000000,bottom
"LED44","YS-SK6812MINI-E","YS-SK6812MINI-E",-33.743000,40.370000,0.000000,bottom
"LED45","YS-SK6812MINI-E","YS-SK6812MINI-E",-14.743000,37.995000,0.000000,bottom
"LED46","YS-SK6812MINI-E","YS-SK6812MINI-E",-109.743000,16.620000,0.000000,bottom
"LED47","YS-SK6812MINI-E","YS-SK6812MINI-E",-90.743000,16.620000,0.000000,bottom
"LED48","YS-SK6812MINI-E","YS-SK6812MINI-E",-71.743000,21.370000,0.000000,bottom
"LED49","YS-SK6812MINI-E","YS-SK6812MINI-E",-52.743000,23.745000,0.000000,bottom
"LED50","YS-SK6812MINI-E","YS-SK6812MINI-E",-33.743000,21.370000,0.000000,bottom
"LED51","YS-SK6812MINI-E","YS-SK6812MINI-E",-14.743000,18.995000,0.000000,bottom
"LED52","YS-SK6812MINI-E","YS-SK6812MINI-E",-30.499064,0.991375,300.000000,bottom
"LED53","YS-SK6812MINI-E","YS-SK6812MINI-E",-19.435353,-20.357318,300.000000,bottom
"LED54","YS-SK6812MINI-E","YS-SK6812MINI-E",-10.926200,-3.079031,300.000000,bottom
"LED55","YS-SK6812MINI-E","YS-SK6812MINI-E",146.757000,-2.430000,0.000000,bottom
"LED56","YS-SK6812MINI-E","YS-SK6812MINI-E",122.881000,-2.430000,0.000000,bottom
"LED57","YS-SK6812MINI-E","YS-SK6812MINI-E",-104.917000,-2.430000,0.000000,bottom
"LED58","YS-SK6812MINI-E","YS-SK6812MINI-E",-85.867000,-2.430000,0.000000,bottom
"LED59","YS-SK6812MINI-E","YS-SK6812MINI-E",94.220500,2.186000,0.000000,bottom
"LED60","YS-SK6812MINI-E","YS-SK6812MINI-E",-57.213000,2.253000,0.000000,bottom
